,comment,date,user
0,"Before this is all over, Obama and Hillary will be indicted.
",7 seconds ago,Dennis
1,"Is $240 the new 12 month new target now?
",3 hours ago,Invest
2,"@Market
These kinds of posts are useless and the replies are meaningless. Nothing of actual substance.
",3 hours ago,larry
3,"Today is Berkshire Hathaway Day. Let’s see if Uncle Warren mentions Apple, you think:)
",3 hours ago,Marc
4,"Mr. Buffett isn’t just the owner of International Dairy Queen, he’s also a client. He regularly brings his great-grandkids to his local Dairy Queen in Omaha, and says it was there that he did some of the research that led him to take a big stake in Apple Inc. He told CNBC that he quizzed his great-grandkids and their friends about their loyalty to their iPhones on one of their DQ expeditions.
",4 hours ago,william1
5,"Donald's father paid $1.5 million back then to get him into Wharton.

Donald's father got him recused from the draft.

Donal's father rescued him from eight bankruptcies. I hope the USA is not his ninth!
More
",4 hours ago,Da Vinci
6,"""Low IQ Donald""

WHen his college grades are public it will be ""VERY LOW IQ DONALD""
",4 hours ago,Da Vinci
7,"A reminder!

If you previously sold covered calls for 10 to 20% and your stock is taken; buy it back and repeat the process over and over,

If the stock was not taken, you keep the dividend.

This Summer I will once again show how you will take a huge tax break, increase cash in your pockets and equity by closing out this ""under the water"" trade
More
",5 hours ago,Da Vinci
8,"Enjoy your weekend.

Signing off
",6 hours ago,Da Vinci
9,"Yesterday, once again, the option players made 50 to 100% intra-day on that weekly option play.

Looking at the May 10 options, it looks like a strong MOnday open
",6 hours ago,Da Vinci
10,"I read how Warren bought $10 Billion in AAPL stock in when everyone was selling back in Dec thru Jan.

I read how much AAPL bought of its' own stock, as well.

Selling Jan 20/21 puts back then made so much sense
More
",6 hours ago,Da Vinci
11,"This week we saw consumer confidence go up. Positive GDP growth. Great results from Apple, AMD etc. etc. Lower unemployment. What more do you guys want. Last week deficit went down. I see dow at 40,000 or by year end and apple at $400. Also Warren passed some positive remarks about apple this week. Don't worry be happy. Also analysts from J.P. Morgan and Bank of America indicated positive signs for an upward momentum in the stock market and actually recommended to buy calls if that's what you want to do. I am old fashioned. I buy stocks and mutual funds and hold on them forever.
",6 hours ago,Anonymous
12,"Donald’s great leader:
https://www.yahoo.com/news/north-korea-fires-unidentified-short-range-missile-011534811.html
North Korea on Saturday fired several unidentified short-range projectiles into the sea off its eastern coast, the South Korean Joint Chiefs of Staff said, a likely sign of Pyongyang's growing frustration at stalled diplomatic talks with Washington m
North Korea on Saturday fired several unidentified short-range projectiles into the sea off its eastern coast, the South Korean Joint Chiefs of Staff said, a likely sign of Pyongyang's growing frustration at stalled diplomatic talks with Washington m
www.yahoo.com
",12 hours ago,RV
13,"Expect to add 500 millions paid subs lol easy money Monday
",13 hours ago,John
14,"When will the Apple credit card release?
",14 hours ago,Drewski
15,"Btw only up $2 from last height before earning.
",14 hours ago,John
16,"Muted spammers
",14 hours ago,John
17,"https://www.yahoo.com/news/ex-fbi-official-trump-gave-211933286.html
Reacting to President Trump’s over hour-long Friday phone call with Russian President Vladimir Putin in which Trump said he didn’t press Putin on meddling in the 2020 presidential election, former FBI Assistant Director for Counterintelligence Frank
Reacting to President Trump’s over hour-long Friday phone call with Russian President Vladimir Putin in which Trump said he didn’t press Putin on meddling in the 2020 presidential election, former FBI Assistant Director for Counterintelligence Frank
www.yahoo.com
",15 hours ago,RV
18,"There are only a few stocks I buy and hold for the long term. Apple is one of them.
",16 hours ago,Derek Peter
